depth,SP,GR,LLD,LLS,DEN,AC,litholody
1244,19.507,97.951,1.834,1.547,2.277,114.405,shale
1244.1,19.54,101.047,1.769,1.506,2.271,113.658,shale
1244.2,19.556,103.982,1.699,1.456,2.26,113.575,shale
1244.3,19.48,106.356,1.642,1.41,2.244,114.661,shale
1244.4,19.272,107.973,1.609,1.378,2.222,116.518,shale
1244.5,18.944,108.748,1.599,1.361,2.196,118.43,shale
1244.6,18.554,108.656,1.604,1.355,2.17,120.111,shale
1244.7,18.173,107.686,1.605,1.348,2.144,121.771,shale
1244.8,17.85,105.94,1.587,1.327,2.121,123.402,shale
1244.9,17.6,103.74,1.538,1.281,2.104,124.134,shale
1245,17.413,101.484,1.463,1.212,2.093,123.741,shale
1245.1,17.269,99.451,1.378,1.138,2.089,123.911,shale
1245.2,17.157,97.851,1.297,1.072,2.092,126.547,shale
1245.3,17.073,96.794,1.23,1.02,2.098,131.122,shale
1245.4,17.014,96.169,1.177,0.981,2.107,135.277,shale
1245.5,16.97,95.639,1.139,0.951,2.117,137.436,shale
1245.6,16.924,94.954,1.112,0.929,2.126,138.292,shale
1245.7,16.867,94.086,1.097,0.913,2.134,139.743,shale
1245.8,16.804,93.297,1.09,0.903,2.142,142.282,shale
1245.9,16.747,92.805,1.092,0.898,2.15,144.535,shale
1246,16.709,92.592,1.104,0.901,2.16,145.312,shale
1246.1,16.686,92.356,1.127,0.913,2.171,144.501,shale
1246.2,16.657,91.728,1.158,0.932,2.185,142.639,shale
1246.3,16.592,90.557,1.195,0.957,2.2,140.443,shale
1246.4,16.469,89.041,1.234,0.986,2.216,138.069,shale
1246.5,16.289,87.671,1.275,1.02,2.233,135.559,shale
1246.6,16.074,87.012,1.318,1.06,2.248,133.235,shale
1246.7,15.866,87.396,1.366,1.107,2.26,131.344,shale
1246.8,15.705,88.768,1.42,1.16,2.267,129.319,shale
1246.9,15.612,90.714,1.48,1.216,2.27,126.225,shale
1247,15.585,92.776,1.539,1.267,2.266,121.862,shale
1247.1,15.605,94.617,1.59,1.309,2.256,116.909,shale
1247.2,15.641,96.038,1.626,1.336,2.241,112.438,shale
1247.3,15.681,97.19,1.646,1.35,2.222,109.156,shale
