depth,SP,GR,LLD,LLS,DEN,AC,lithology
1504.9,66.616,65.298,15.944,10.379,2.06,123.214,sand
1505,66.803,65.594,15.034,9.918,2.048,123.992,sand
1505.1,67.015,65.516,14.395,9.586,2.038,124.779,sand
1505.2,67.239,65.308,13.979,9.362,2.031,125.632,sand
1505.3,67.457,65.22,13.728,9.215,2.028,126.701,sand
1505.4,67.663,65.301,13.579,9.113,2.026,127.852,sand
1505.5,67.871,65.338,13.474,9.026,2.025,128.732,sand
1505.6,68.098,65.049,13.367,8.933,2.026,129.148,sand
1505.7,68.352,64.304,13.233,8.821,2.028,129.222,sand
1505.8,68.621,63.187,13.062,8.687,2.03,129.301,sand
1505.9,68.882,62.028,12.852,8.53,2.034,129.458,sand
1506,69.113,61.265,12.6,8.348,2.04,129.399,sand
1506.1,69.308,61.217,12.298,8.138,2.046,128.993,sand
1506.2,69.484,61.901,11.942,7.897,2.054,128.381,sand
1506.3,69.666,63.066,11.534,7.627,2.062,127.784,sand
1506.4,69.873,64.401,11.089,7.339,2.068,127.249,sand
1506.5,70.097,65.68,10.629,7.044,2.073,126.667,sand
1506.6,70.314,66.77,10.176,6.756,2.077,125.992,sand
1506.7,70.497,67.509,9.742,6.483,2.079,125.493,sand
1506.8,70.636,67.882,9.331,6.228,2.079,125.473,sand
1506.9,70.741,68.054,8.938,5.988,2.079,125.858,sand
1507,70.839,68.201,8.552,5.756,2.079,126.331,sand
1507.1,70.955,68.429,8.169,5.529,2.078,126.574,sand
1507.2,71.098,68.676,7.791,5.307,2.077,126.502,sand
1507.3,71.256,68.753,7.43,5.095,2.075,126.317,sand
1507.4,71.407,68.534,7.098,4.899,2.075,126.227,sand
1507.5,71.534,68.031,6.804,4.725,2.075,126.206,sand
1507.6,71.632,67.468,6.55,4.571,2.075,126.086,sand
1507.7,71.709,67.114,6.33,4.435,2.074,125.863,sand
1507.8,71.778,67.131,6.132,4.308,2.072,125.779,sand
1507.9,71.849,67.462,5.943,4.185,2.069,126.062,sand
1508,71.925,67.929,5.76,4.065,2.067,126.611,sand
1508.1,72.005,68.389,5.587,3.951,2.066,127.007,sand
1508.2,72.081,68.714,5.436,3.851,2.066,127.03,sand
1508.3,72.156,68.811,5.319,3.774,2.066,126.857,sand
1508.4,72.241,68.703,5.25,3.728,2.067,126.729,sand
1508.5,72.346,68.373,5.236,3.716,2.069,126.622,sand
1508.6,72.471,67.902,5.269,3.735,2.072,126.314,sand
1508.7,72.602,67.465,5.335,3.775,2.076,125.772,sand
1508.8,72.719,67.229,5.411,3.822,2.078,125.22,sand
1508.9,72.813,67.233,5.471,3.857,2.081,124.875,sand
1509,72.89,67.356,5.491,3.866,2.083,124.712,sand
1509.1,72.969,67.369,5.458,3.839,2.085,124.591,sand
1509.2,73.071,67.034,5.38,3.78,2.087,124.494,sand
1509.3,73.212,66.319,5.276,3.705,2.088,124.505,sand
1509.4,73.381,65.421,5.168,3.627,2.087,124.679,sand
1509.5,73.546,64.71,5.075,3.56,2.081,124.986,sand
1509.6,73.68,64.661,5.009,3.512,2.073,125.409,sand
1509.7,73.777,65.599,4.981,3.489,2.064,126.009,sand
1509.8,73.85,67.423,4.994,3.494,2.059,126.807,sand
1509.9,73.918,69.663,5.047,3.525,2.058,127.71,sand
1510,74,71.709,5.139,3.581,2.061,128.542,sand
1510.1,74.1,72.961,5.265,3.659,2.068,129.184,sand
1510.2,74.216,73.03,5.419,3.755,2.075,129.543,sand
