depth(m),SP,GR,LLD,LLS,DEN,AC,lithology
911,16.158,94.435,1.961,1.461,2.083,144.302,shale
911.1,16.134,94.599,1.958,1.459,2.099,145.263,shale
911.2,16.149,94.539,1.96,1.461,2.109,144.809,shale
911.3,16.176,94.188,1.972,1.467,2.114,143.984,shale
911.4,16.203,93.463,1.991,1.477,2.118,143.825,shale
911.5,16.224,92.443,2.012,1.487,2.124,144.575,shale
911.6,16.239,91.421,2.031,1.495,2.13,145.662,shale
911.7,16.246,90.736,2.045,1.5,2.136,146.855,shale
911.8,16.242,90.639,2.055,1.502,2.141,147.906,shale
911.9,16.224,91.263,2.066,1.503,2.144,148.355,shale
912,16.2,92.57,2.078,1.506,2.146,148.21,shale
912.1,16.181,94.288,2.093,1.511,2.148,147.896,shale
912.2,16.176,96.055,2.106,1.516,2.151,147.942,shale
912.3,16.184,97.357,2.113,1.516,2.155,148.554,shale
912.4,16.195,97.743,2.108,1.511,2.158,149.465,shale
912.5,16.191,97.049,2.096,1.501,2.16,150.154,shale
912.6,16.157,95.493,2.081,1.491,2.158,150.342,shale
912.7,16.094,93.585,2.072,1.484,2.154,150.201,shale
912.8,16.014,91.951,2.075,1.484,2.15,149.894,shale
912.9,15.928,91.019,2.089,1.492,2.147,149.363,shale
913,15.833,90.817,2.109,1.504,2.145,148.53,shale
913.1,15.711,90.936,2.123,1.513,2.146,147.485,shale
913.2,15.54,90.832,2.125,1.516,2.147,146.409,shale
913.3,15.317,90.16,2.11,1.51,2.15,145.443,shale
913.4,15.063,88.987,2.085,1.497,2.154,144.625,shale
913.5,14.817,87.69,2.061,1.484,2.159,143.829,shale
913.6,14.618,86.669,2.048,1.477,2.165,142.935,shale
913.7,14.487,86.161,2.05,1.48,2.172,141.889,shale
913.8,14.423,86.142,2.071,1.494,2.181,140.663,shale
913.9,14.406,86.427,2.106,1.518,2.19,139.35,shale
914,14.406,86.84,2.148,1.548,2.198,137.965,shale
914.1,14.397,87.257,2.192,1.579,2.205,136.495,shale
914.2,14.36,87.61,2.232,1.608,2.208,135.149,shale
914.3,14.289,87.862,2.265,1.633,2.208,134.309,shale
914.4,14.2,88.036,2.292,1.652,2.206,134.263,shale
914.5,14.132,88.186,2.313,1.667,2.204,135.064,shale
914.6,14.131,88.344,2.33,1.679,2.202,136.433,shale
914.7,14.24,88.502,2.346,1.69,2.202,137.797,shale
914.8,14.47,88.532,2.363,1.702,2.201,138.409,shale
914.9,14.795,88.263,2.381,1.717,2.202,137.697,shale
915,15.158,87.733,2.401,1.733,2.203,135.764,shale
915.1,15.495,87.186,2.42,1.75,2.203,133.346,shale
915.2,15.758,86.889,2.436,1.764,2.204,131.293,shale
915.3,15.933,86.953,2.443,1.771,2.204,130.005,shale
915.4,16.033,87.279,2.438,1.769,2.202,129.517,shale
915.5,16.087,87.637,2.419,1.758,2.199,129.544,shale
915.6,16.129,87.797,2.389,1.738,2.195,129.796,shale
915.7,16.179,87.635,2.353,1.715,2.189,130.116,shale
915.8,16.241,87.224,2.317,1.69,2.182,130.418,shale
915.9,16.308,86.756,2.285,1.667,2.176,130.895,shale
916,16.365,86.394,2.258,1.648,2.17,131.68,shale
916.1,16.397,86.173,2.238,1.635,2.166,133.111,shale
916.2,16.384,86.124,2.226,1.628,2.164,134.978,shale
916.3,16.32,86.311,2.221,1.627,2.163,136.405,shale
916.4,16.207,86.736,2.225,1.629,2.164,136.868,shale
916.5,16.06,87.247,2.232,1.633,2.165,136.572,shale
916.6,15.895,87.644,2.239,1.635,2.166,136.014,shale
916.7,15.729,87.855,2.239,1.631,2.166,135.336,shale
916.8,15.567,88.045,2.226,1.619,2.164,134.681,shale
916.9,15.406,88.384,2.199,1.598,2.162,134.444,shale
917,15.245,88.898,2.161,1.571,2.16,135.328,shale
917.1,15.099,89.605,2.119,1.541,2.159,137.183,shale
917.2,14.999,90.471,2.08,1.513,2.16,138.712,shale
917.3,14.975,91.362,2.05,1.49,2.163,139.213,shale
917.4,15.035,92.121,2.031,1.474,2.167,139.053,shale
917.5,15.156,92.648,2.025,1.467,2.171,138.858,shale
917.6,15.298,92.873,2.028,1.466,2.175,138.837,shale
917.7,15.428,92.8,2.038,1.47,2.178,138.768,shale
917.8,15.519,92.456,2.051,1.476,2.179,138.395,shale
917.9,15.565,91.878,2.063,1.482,2.18,137.959,shale
918,15.572,91.207,2.073,1.486,2.178,137.835,shale
918.1,15.544,90.753,2.077,1.487,2.177,137.996,shale
918.2,15.489,90.755,2.075,1.484,2.174,138.304,shale
918.3,15.426,91.216,2.068,1.478,2.172,138.792,shale
918.4,15.391,91.935,2.058,1.471,2.17,139.675,shale
918.5,15.435,92.726,2.05,1.466,2.167,141.067,shale
918.6,15.593,93.585,2.05,1.466,2.163,142.673,shale
918.7,15.865,94.638,2.065,1.474,2.158,143.82,shale
918.8,16.207,95.991,2.098,1.493,2.153,143.953,shale
918.9,16.562,97.676,2.148,1.521,2.15,142.831,shale
919,16.884,99.506,2.212,1.558,2.151,140.64,shale
919.1,17.158,101.032,2.284,1.599,2.156,138.073,shale
919.2,17.401,101.694,2.353,1.64,2.163,135.827,shale
919.3,17.639,101.26,2.411,1.674,2.17,134.024,shale
919.4,17.887,99.938,2.45,1.698,2.176,132.265,shale
919.5,18.134,98.301,2.471,1.712,2.181,130.625,shale
919.6,18.355,96.909,2.477,1.716,2.183,129.809,shale
919.7,18.525,96.03,2.472,1.713,2.184,130.082,shale
919.8,18.637,95.637,2.46,1.707,2.181,130.715,shale
919.9,18.705,95.551,2.443,1.697,2.177,130.847,shale
920,18.758,95.516,2.417,1.681,2.172,130.594,shale
920.1,18.833,95.419,2.379,1.659,2.167,130.653,shale
920.2,18.962,95.204,2.329,1.63,2.164,131.119,shale
920.3,19.159,94.86,2.271,1.598,2.163,131.394,shale
920.4,19.414,94.349,2.214,1.568,2.164,130.979,shale
920.5,19.687,93.713,2.169,1.546,2.167,130.311,shale
920.6,19.913,93.147,2.143,1.535,2.171,130.16,shale
920.7,20.023,92.884,2.139,1.537,2.175,130.713,shale
920.8,19.976,93.081,2.155,1.551,2.179,131.579,shale
920.9,19.78,93.793,2.189,1.574,2.182,132.008,shale
921,19.495,94.87,2.231,1.6,2.185,131.698,shale
921.1,19.205,95.965,2.274,1.627,2.187,130.992,shale
921.2,18.978,96.723,2.311,1.65,2.187,130.497,shale
921.3,18.842,96.983,2.341,1.668,2.186,130.461,shale
921.4,18.784,96.776,2.363,1.683,2.184,130.726,shale
921.5,18.76,96.201,2.379,1.694,2.179,131.297,shale
921.6,18.724,95.436,2.389,1.702,2.174,131.864,shale
921.7,18.646,94.487,2.394,1.707,2.169,131.633,shale
921.8,18.517,93.278,2.396,1.71,2.164,130.121,shale
921.9,18.342,91.823,2.399,1.714,2.159,127.927,shale
922,18.134,90.218,2.407,1.719,2.153,126.392,shale
922.1,17.91,88.749,2.42,1.727,2.147,126.084,shale
922.2,17.702,87.801,2.432,1.735,2.142,126.543,shale
922.3,17.546,87.577,2.434,1.736,2.142,127.239,shale
922.4,17.474,88.04,2.418,1.727,2.148,128.125,shale
922.5,17.492,88.971,2.382,1.705,2.161,129.35,shale
922.6,17.58,90.012,2.33,1.674,2.177,130.41,shale
922.7,17.697,90.771,2.274,1.64,2.193,130.802,shale
922.8,17.799,91.084,2.23,1.613,2.204,130.724,shale
922.9,17.856,90.998,2.206,1.598,2.211,130.914,shale
923,17.86,90.705,2.206,1.598,2.214,131.378,shale
923.1,17.825,90.541,2.231,1.615,2.216,132.055,shale
923.2,17.785,90.755,2.273,1.642,2.22,133.835,shale
923.3,17.775,91.314,2.315,1.671,2.225,136.997,shale
