depth(m),SP,GR,LLD,LLS,DEN,AC,lithology
1389.2,71.399,75.229,3.417,2.39,2.079,113.884,sand
1389.3,71.26,75.145,3.538,2.472,2.081,114.269,sand
1389.4,71.149,75.004,3.66,2.554,2.082,114.271,sand
1389.5,70.993,74.722,3.754,2.618,2.083,113.855,sand
1389.6,70.733,74.323,3.797,2.652,2.084,113.495,sand
1389.7,70.348,73.959,3.781,2.651,2.085,113.645,sand
1389.8,69.865,73.863,3.718,2.623,2.085,114.29,sand
1389.9,69.336,74.169,3.635,2.582,2.086,115.069,sand
1390,68.813,74.794,3.559,2.546,2.086,115.759,sand
1390.1,68.313,75.421,3.511,2.528,2.085,116.194,sand
1390.2,67.818,75.697,3.501,2.536,2.086,116.108,sand
1390.3,67.284,75.438,3.528,2.569,2.087,115.402,sand
1390.4,66.675,74.653,3.582,2.622,2.088,114.587,sand
1390.5,65.988,73.519,3.642,2.684,2.089,114.515,sand
1390.6,65.238,72.378,3.689,2.74,2.09,115.347,sand
1390.7,64.452,71.592,3.707,2.779,2.091,116.404,sand
1390.8,63.646,71.442,3.692,2.798,2.092,116.864,sand
1390.9,62.822,71.973,3.658,2.802,2.094,116.403,sand
1391,61.981,73.027,3.624,2.804,2.097,115.203,sand
1391.1,61.115,74.323,3.609,2.818,2.103,113.459,sand
1391.2,60.212,75.531,3.623,2.85,2.11,111.513,sand
1391.3,59.262,76.442,3.659,2.893,2.12,109.977,sand
1391.4,58.259,76.972,3.693,2.927,2.129,109.424,sand
1391.5,57.198,77.254,3.696,2.926,2.135,110.32,sand
1391.6,56.07,77.545,3.643,2.872,2.136,111.642,sand
1391.7,54.846,78.061,3.531,2.767,2.134,111.682,sand
1391.8,53.49,79.007,3.38,2.635,2.131,109.838,sand
1391.9,51.963,80.592,3.22,2.504,2.129,106.626,sand
1392,50.241,82.871,3.073,2.397,2.134,103.451,sand
1392.1,48.326,85.658,2.953,2.326,2.147,101.569,sand
1392.2,46.243,88.647,2.861,2.291,2.165,101.654,sand
1392.3,44.042,91.63,2.79,2.284,2.184,103.365,shale
1392.4,41.771,94.471,2.733,2.292,2.198,105.414,shale
1392.5,39.478,97.173,2.679,2.299,2.211,106.157,shale
1392.6,37.22,99.841,2.62,2.291,2.225,104.8,shale
1392.7,35.075,102.523,2.547,2.257,2.246,102.666,shale
1392.8,33.111,105.162,2.462,2.199,2.271,101.775,shale
1392.9,31.345,107.526,2.373,2.13,2.294,102.85,shale
1393,29.743,109.272,2.295,2.067,2.312,105.043,shale
1393.1,28.252,110.124,2.243,2.024,2.326,106.83,shale
1393.2,26.839,110.079,2.225,2.009,2.338,106.855,shale
1393.3,25.512,109.381,2.244,2.023,2.351,104.77,shale
1393.4,24.304,108.365,2.288,2.058,2.364,101.763,shale
1393.5,23.248,107.45,2.336,2.094,2.369,99.685,shale
1393.6,22.345,106.987,2.356,2.105,2.358,99.404,shale
1393.7,21.566,107.06,2.323,2.069,2.322,100.859,shale
1393.8,20.864,107.466,2.231,1.984,2.269,103.926,shale
1393.9,20.213,107.845,2.1,1.867,2.205,108.475,shale
1394,19.614,107.874,1.962,1.745,2.149,114.036,shale
1394.1,19.081,107.374,1.841,1.638,2.093,119.234,shale
1394.2,18.622,106.249,1.752,1.557,2.03,122.584,shale
1394.3,18.24,104.679,1.703,1.509,1.981,123.932,shale
1394.4,17.934,103.102,1.695,1.496,1.957,123.902,shale
1394.5,17.7,102.11,1.732,1.519,1.967,122.801,shale
1394.6,17.528,102.068,1.817,1.581,2.008,120.321,shale
1394.7,17.401,102.869,1.954,1.686,2.073,116.047,shale
1394.8,17.305,104.045,2.146,1.836,2.151,110.236,shale
1394.9,17.227,105.016,2.382,2.021,2.229,104.068,shale
1395,17.167,105.437,2.634,2.218,2.296,99.623,shale
1395.1,17.145,105.363,2.851,2.384,2.345,98.598,shale
1395.2,17.204,105.074,2.983,2.477,2.372,100.693,shale
1395.3,17.398,104.934,3.012,2.485,2.375,104.071,shale
1395.4,17.761,105.015,2.965,2.43,2.359,107.071,shale
1395.5,18.299,105.096,2.889,2.353,2.335,109.123,shale
1395.6,18.968,105.027,2.817,2.283,2.313,109.829,shale
1395.7,19.671,104.923,2.758,2.228,2.295,108.602,shale
1395.8,20.274,105.093,2.697,2.178,2.283,105.891,shale
1395.9,20.64,105.712,2.617,2.117,2.27,103.838,shale
1396,20.663,106.726,2.504,2.034,2.252,104.599,shale
1396.1,20.302,107.895,2.363,1.929,2.23,108.226,shale
1396.2,19.597,108.928,2.209,1.811,2.208,112.817,shale
1396.3,18.666,109.611,2.066,1.699,2.191,116.469,shale
1396.4,17.669,109.719,1.949,1.607,2.18,118.727,shale
1396.5,16.753,109.051,1.864,1.539,2.171,119.877,shale
1396.6,16,107.646,1.808,1.494,2.163,120.037,shale
1396.7,15.423,105.73,1.776,1.468,2.157,119.367,shale
1396.8,14.987,103.725,1.76,1.456,2.156,118.355,shale
1396.9,14.64,102.212,1.759,1.457,2.161,117.516,shale
1397,14.34,101.739,1.771,1.469,2.17,117.23,shale
1397.1,14.062,102.433,1.799,1.493,2.184,116.86,shale
1397.2,13.794,103.891,1.845,1.528,2.2,115.059,shale
1397.3,13.519,105.483,1.907,1.574,2.217,111.597,shale
1397.4,13.224,106.671,1.979,1.626,2.23,107.619,shale
1397.5,12.912,107.176,2.049,1.676,2.236,104.747,shale
1397.6,12.609,107.156,2.1,1.713,2.235,103.941,shale
1397.7,12.354,107.116,2.125,1.73,2.23,104.941,shale
1397.8,12.176,107.491,2.124,1.728,2.225,106.445,shale
1397.9,12.078,108.5,2.108,1.713,2.225,107.389,shale
1398,12.04,110.057,2.083,1.691,2.232,107.658,shale
1398.1,12.028,111.888,2.053,1.664,2.243,107.73,shale
1398.2,12.016,113.738,2.016,1.632,2.255,108.312,shale
1398.3,11.993,115.409,1.972,1.594,2.261,109.32,shale
1398.4,11.961,116.577,1.917,1.549,2.256,110.562,shale
1398.5,11.921,116.992,1.856,1.5,2.239,112.292,shale
1398.6,11.871,116.557,1.793,1.452,2.212,114.519,shale
1398.7,11.804,115.164,1.735,1.407,2.178,116.669,shale
1398.8,11.722,112.714,1.685,1.369,2.145,118.115,shale
1398.9,11.637,109.43,1.644,1.338,2.118,118.278,shale
1399,11.567,105.861,1.616,1.318,2.102,117.122,shale
1399.1,11.526,102.665,1.601,1.308,2.098,115.69,shale
1399.2,11.511,100.341,1.602,1.311,2.104,115.057,shale
1399.3,11.5,99.127,1.621,1.326,2.114,115.885,shale
1399.4,11.473,99.038,1.657,1.355,2.122,117.17,shale
1399.5,11.412,99.86,1.71,1.395,2.123,116.725,shale
1399.6,11.307,101.175,1.776,1.445,2.115,113.826,shale
1399.7,11.152,102.538,1.847,1.499,2.1,110.409,shale
1399.8,10.951,103.695,1.918,1.553,2.085,108.532,shale
1399.9,10.72,104.408,1.983,1.602,2.072,108.004,shale
1400,10.483,104.404,2.042,1.644,2.065,107.751,shale
1400.1,10.285,103.592,2.092,1.679,2.063,106.992,shale
1400.2,10.166,102.195,2.132,1.706,2.067,106.344,shale
1400.3,10.142,100.8,2.157,1.72,2.074,106.791,shale
1400.4,10.193,100.138,2.159,1.72,2.085,108.234,shale
1400.5,10.275,100.652,2.136,1.701,2.1,109.929,shale
1400.6,10.345,102.277,2.092,1.668,2.119,111.28,shale
1400.7,10.384,104.533,2.041,1.629,2.142,112.435,shale
1400.8,10.39,106.717,1.998,1.596,2.168,113.734,shale
1400.9,10.374,108.317,1.979,1.582,2.193,114.418,shale
1401,10.348,109.256,1.998,1.595,2.217,113.029,shale
1401.1,10.311,109.867,2.06,1.64,2.239,109.297,shale
1401.2,10.249,110.43,2.165,1.718,2.263,104.566,shale
1401.3,10.159,111.03,2.305,1.825,2.291,100.759,shale
1401.4,10.061,111.508,2.459,1.943,2.319,98.86,shale
1401.5,9.99,111.544,2.588,2.045,2.342,98.376,shale
1401.6,9.971,110.985,2.652,2.1,2.351,98.852,shale
1401.7,10.001,110.085,2.629,2.089,2.341,100.649,shale
1401.8,10.058,109.309,2.528,2.014,2.314,103.686,shale
1401.9,10.11,109.19,2.375,1.897,2.276,106.718,shale
1402,10.136,109.99,2.2,1.762,2.231,108.607,shale
1402.1,10.138,111.563,2.025,1.627,2.185,109.879,shale
1402.2,10.131,113.36,1.866,1.505,2.14,112.193,shale
1402.3,10.123,114.792,1.732,1.403,2.098,116.268,shale
1402.4,10.103,115.442,1.628,1.325,2.066,120.662,shale
1402.5,10.06,115.24,1.553,1.27,2.048,123.51,shale
1402.6,9.998,114.451,1.507,1.239,2.045,124.32,shale
1402.7,9.946,113.394,1.489,1.229,2.056,123.837,shale
1402.8,9.944,112.456,1.496,1.237,2.078,122.832,shale
1402.9,10.015,112.094,1.526,1.262,2.106,121.281,shale
1403,10.148,112.587,1.578,1.302,2.133,119.459,shale
1403.1,10.314,113.883,1.653,1.36,2.156,117.871,shale
1403.2,10.477,115.558,1.754,1.437,2.17,116.177,shale
1403.3,10.607,116.989,1.884,1.535,2.177,113.733,shale
1403.4,10.686,117.566,2.044,1.655,2.179,110.579,shale
1403.5,10.707,117.085,2.232,1.795,2.181,106.973,shale
1403.6,10.675,115.803,2.435,1.944,2.185,103.466,shale
1403.7,10.612,114.282,2.62,2.078,2.193,100.733,shale
1403.8,10.56,113.055,2.738,2.16,2.203,99.404,shale
1403.9,10.567,112.364,2.741,2.159,2.208,99.956,shale
1404,10.664,112.066,2.623,2.071,2.2,102.523,shale
1404.1,10.842,111.876,2.426,1.928,2.173,106.493,shale
1404.2,11.051,111.527,2.213,1.773,2.132,111.127,shale
1404.3,11.221,110.905,2.031,1.64,2.084,115.619,shale
1404.4,11.298,109.959,1.903,1.547,2.042,118.382,shale
1404.5,11.273,108.841,1.834,1.498,2.013,118.384,shale
1404.6,11.172,107.817,1.819,1.488,2.001,115.993,shale
1404.7,11.04,107.222,1.847,1.512,2.006,112.866,shale
1404.8,10.921,107.453,1.904,1.557,2.022,110.111,shale
1404.9,10.832,108.725,1.974,1.613,2.042,107.91,shale
1405,10.76,110.882,2.042,1.668,2.056,106.2,shale
1405.1,10.683,113.367,2.101,1.716,2.061,105.012,shale
1405.2,10.591,115.425,2.154,1.757,2.056,104.23,shale
1405.3,10.491,116.454,2.21,1.799,2.047,103.418,shale
1405.4,10.407,116.31,2.276,1.848,2.04,102.585,shale
1405.5,10.362,115.302,2.357,1.909,2.043,101.876,shale
1405.6,10.36,113.936,2.448,1.978,2.057,101.522,shale
1405.7,10.388,112.714,2.537,2.046,2.082,101.19,shale
1405.8,10.416,112.094,2.602,2.098,2.116,100.608,shale
1405.9,10.407,112.132,2.617,2.113,2.153,100.271,shale
1406,10.337,112.618,2.563,2.075,2.188,100.746,shale
1406.1,10.211,113.254,2.439,1.982,2.211,101.992,shale
1406.2,10.055,113.744,2.265,1.851,2.214,103.677,shale
1406.3,9.911,113.836,2.076,1.707,2.193,106.133,shale
1406.4,9.812,113.27,1.902,1.575,2.156,109.808,shale
1406.5,9.773,111.9,1.763,1.469,2.114,114.177,shale
1406.6,9.779,109.911,1.664,1.396,2.08,117.791,shale
1406.7,9.805,107.651,1.608,1.354,2.061,119.722,shale
1406.8,9.828,105.407,1.587,1.342,2.059,120.179,shale
1406.9,9.835,103.178,1.598,1.353,2.07,119.599,shale
1407,9.809,101.041,1.632,1.382,2.088,118.234,shale
1407.1,9.737,99.181,1.678,1.421,2.105,116.142,shale
1407.2,9.603,97.878,1.727,1.462,2.115,113.888,shale
1407.3,9.408,97.379,1.769,1.495,2.118,112.469,shale
1407.4,9.181,97.75,1.797,1.518,2.115,112.177,shale
1407.5,8.977,98.733,1.809,1.529,2.113,112.518,shale
1407.6,8.852,99.829,1.812,1.531,2.115,113.058,shale
1407.7,8.836,100.583,1.814,1.534,2.121,113.277,shale
1407.8,8.924,101.078,1.83,1.545,2.132,112.289,shale
1407.9,9.077,101.691,1.871,1.576,2.145,109.827,shale
1408,9.252,102.812,1.95,1.635,2.161,106.671,shale
1408.1,9.421,104.509,2.074,1.727,2.18,103.646,shale
1408.2,9.582,106.493,2.249,1.858,2.204,100.939,shale
1408.3,9.738,108.308,2.473,2.028,2.233,98.265,shale
1408.4,9.886,109.639,2.735,2.229,2.266,95.601,shale
1408.5,10.018,110.428,3.012,2.446,2.3,93.716,shale
1408.6,10.122,110.732,3.266,2.649,2.331,93.374,shale
1408.7,10.185,110.615,3.448,2.801,2.358,94.354,shale
1408.8,10.206,110.191,3.518,2.867,2.378,95.657,shale
1408.9,10.192,109.67,3.466,2.834,2.391,96.783,shale
1409,10.152,109.356,3.319,2.722,2.399,98.142,shale
1409.1,10.094,109.469,3.123,2.567,2.401,100.215,shale
1409.2,10.024,109.897,2.923,2.405,2.395,102.516,shale
1409.3,9.936,110.409,2.746,2.26,2.382,103.929,shale
1409.4,9.827,110.879,2.599,2.138,2.361,104.174,shale
1409.5,9.692,111.332,2.474,2.036,2.332,104.303,shale
1409.6,9.522,111.865,2.355,1.942,2.295,105.669,shale
1409.7,9.306,112.718,2.229,1.846,2.255,108.319,shale
1409.8,9.049,114.067,2.098,1.748,2.219,111.114,shale
1409.9,8.775,115.868,1.971,1.654,2.194,113.115,shale
1410,8.526,117.961,1.865,1.576,2.184,114.046,shale
1410.1,8.343,120.04,1.793,1.523,2.192,113.792,shale
1410.2,8.253,121.69,1.76,1.499,2.215,112.269,shale
1410.3,8.255,122.48,1.764,1.503,2.247,109.927,shale
1410.4,8.332,122.135,1.792,1.526,2.277,107.924,shale
1410.5,8.452,120.65,1.825,1.554,2.292,107.438,shale
1410.6,8.574,118.416,1.838,1.567,2.283,108.807,shale
1410.7,8.666,116.073,1.818,1.554,2.251,111.341,shale
1410.8,8.71,114.086,1.765,1.513,2.204,114.027,shale
1410.9,8.708,112.654,1.697,1.457,2.159,116.011,shale
1411,8.671,111.818,1.636,1.405,2.125,116.895,shale
1411.1,8.618,111.442,1.597,1.369,2.115,116.859,shale
1411.2,8.577,111.414,1.588,1.356,2.115,115.994,shale
1411.3,8.569,111.7,1.61,1.367,2.123,114.264,shale
1411.4,8.602,112.207,1.656,1.399,2.13,111.954,shale
1411.5,8.666,112.763,1.713,1.441,2.133,109.815,shale
1411.6,8.743,113.137,1.763,1.479,2.131,108.731,shale
1411.7,8.822,113.197,1.789,1.501,2.123,109.239,shale
1411.8,8.898,112.805,1.784,1.5,2.114,111.388,shale
1411.9,8.966,111.933,1.754,1.48,2.103,114.477,shale
1412,9.018,110.5,1.717,1.454,2.093,117.163,shale
1412.1,9.045,108.559,1.69,1.435,2.087,118.046,shale
1412.2,9.042,106.406,1.684,1.431,2.086,116.595,shale
1412.3,9.014,104.438,1.704,1.447,2.095,113.845,shale
1412.4,8.987,102.951,1.742,1.478,2.113,111.487,shale
1412.5,8.984,102.073,1.787,1.513,2.138,110.498,shale
1412.6,9.02,101.818,1.82,1.539,2.161,111.136,shale
1412.7,9.096,102.159,1.824,1.542,2.176,113.512,shale
1412.8,9.196,102.868,1.799,1.521,2.178,116.743,shale
1412.9,9.301,103.738,1.761,1.488,2.171,119.024,shale
1413,9.407,104.608,1.732,1.462,2.164,119.108,shale
1413.1,9.526,105.441,1.735,1.459,2.163,117.163,shale
1413.2,9.667,106.17,1.782,1.49,2.174,113.973,shale
1413.3,9.831,106.769,1.886,1.563,2.197,109.884,shale
1413.4,10.008,107.263,2.049,1.683,2.228,105.708,shale
1413.5,10.186,107.66,2.271,1.847,2.261,102.023,shale
1413.6,10.368,107.859,2.531,2.043,2.289,98.747,shale
1413.7,10.573,107.687,2.793,2.242,2.312,95.222,shale
1413.8,10.819,107.1,3.003,2.403,2.33,90.941,shale
1413.9,11.121,106.326,3.111,2.486,2.344,87.867,shale
1414,11.475,105.72,3.089,2.469,2.353,88.71,shale
1414.1,11.857,105.73,2.955,2.365,2.352,93.634,shale
1414.2,12.212,106.645,2.754,2.21,2.334,100.096,shale
1414.3,12.483,108.417,2.534,2.041,2.3,105.644,shale
1414.4,12.621,110.469,2.326,1.883,2.254,109.793,shale
1414.5,12.6,112.039,2.146,1.747,2.206,113.199,shale
1414.6,12.428,112.677,1.999,1.637,2.167,116.687,shale
1414.7,12.145,112.269,1.886,1.552,2.139,119.764,shale
1414.8,11.811,111.047,1.802,1.491,2.119,121.606,shale
1414.9,11.496,109.392,1.744,1.449,2.107,122.177,shale
1415,11.248,107.761,1.71,1.426,2.102,121.583,shale
1415.1,11.085,106.64,1.699,1.421,2.103,120.248,shale
1415.2,10.996,106.34,1.709,1.433,2.107,118.424,shale
1415.3,10.945,106.937,1.741,1.461,2.112,116.263,shale
1415.4,10.885,108.39,1.791,1.503,2.121,113.855,shale
1415.5,10.784,110.487,1.859,1.557,2.134,110.548,shale
1415.6,10.628,112.829,1.943,1.624,2.154,105.872,shale
1415.7,10.426,114.827,2.038,1.698,2.178,101,shale
1415.8,10.205,116.128,2.135,1.774,2.203,97.977,shale
1415.9,10.004,116.757,2.219,1.84,2.225,97.975,shale
1416,9.852,117.001,2.273,1.882,2.239,100.067,shale
1416.1,9.768,117.173,2.287,1.89,2.243,102.212,shale
1416.2,9.756,117.523,2.259,1.862,2.238,103.644,shale
1416.3,9.811,118.188,2.193,1.803,2.228,105.37,shale
1416.4,9.918,119.096,2.102,1.724,2.216,108.405,shale
1416.5,10.063,119.763,1.999,1.637,2.202,112.012,shale
1416.6,10.233,119.571,1.898,1.553,2.186,114.694,shale
1416.7,10.417,118.213,1.81,1.482,2.167,116.051,shale
1416.8,10.602,115.971,1.744,1.43,2.145,116.877,shale
1416.9,10.757,113.582,1.71,1.404,2.124,117.386,shale
1417,10.843,111.729,1.712,1.404,2.108,116.382,shale
1417.1,10.837,110.775,1.75,1.433,2.103,112.941,shale
1417.2,10.76,110.697,1.817,1.482,2.112,108.076,shale
1417.3,10.671,111.108,1.897,1.542,2.133,104.031,shale
1417.4,10.639,111.399,1.965,1.593,2.161,102.346,shale
1417.5,10.713,111.106,1.997,1.62,2.187,102.986,shale
1417.6,10.899,110.27,1.985,1.615,2.205,105.339,shale
1417.7,11.16,109.164,1.94,1.584,2.21,108.824,shale
1417.8,11.441,108.089,1.889,1.549,2.205,112.085,shale
1417.9,11.687,107.312,1.859,1.527,2.194,113.227,shale
1418,11.874,106.965,1.862,1.528,2.184,111.405,shale
1418.1,12.001,107.108,1.897,1.553,2.18,107.756,shale
1418.2,12.081,107.652,1.957,1.598,2.184,104.077,shale
1418.3,12.121,108.266,2.026,1.65,2.195,101.409,shale
1418.4,12.14,108.656,2.084,1.694,2.21,100.298,shale
1418.5,12.169,108.604,2.113,1.719,2.227,100.821,shale
1418.6,12.255,107.962,2.108,1.718,2.239,102.782,shale
1418.7,12.428,106.751,2.078,1.697,2.242,105.291,shale
1418.8,12.691,105.142,2.037,1.668,2.235,107.442,shale
1418.9,13.017,103.455,1.997,1.64,2.221,109.386,shale
1419,13.362,101.888,1.967,1.62,2.204,111.869,shale
1419.1,13.676,100.524,1.951,1.611,2.19,114.827,shale
1419.2,13.925,99.32,1.953,1.616,2.179,116.961,shale
1419.3,14.102,98.186,1.974,1.635,2.172,117.562,shale
1419.4,14.223,97.115,2.018,1.671,2.166,116.669,shale
1419.5,14.32,96.144,2.089,1.726,2.162,114.283,shale
1419.6,14.417,95.42,2.19,1.804,2.161,110.263,shale
1419.7,14.529,95.309,2.326,1.91,2.165,105.239,shale
1419.8,14.667,95.971,2.493,2.043,2.176,100.682,shale
1419.9,14.841,97.372,2.679,2.196,2.197,97.365,shale
1420,15.048,99.34,2.859,2.348,2.224,95.617,shale
1420.1,15.269,101.493,2.995,2.47,2.251,95.4,shale
1420.2,15.474,103.462,3.048,2.525,2.274,96.47,shale
1420.3,15.623,104.993,2.997,2.493,2.287,98.819,shale
1420.4,15.678,106.068,2.858,2.385,2.286,102.141,shale
1420.5,15.617,106.888,2.669,2.234,2.271,105.83,shale
1420.6,15.436,107.676,2.477,2.078,2.242,109.113,shale
1420.7,15.161,108.422,2.317,1.947,2.203,111.691,shale
1420.8,14.844,108.844,2.209,1.857,2.161,113.402,shale
1420.9,14.546,108.669,2.164,1.817,2.125,113.821,shale
1421,14.332,107.894,2.185,1.828,2.103,112.693,shale
1421.1,14.251,106.736,2.272,1.89,2.1,110.111,shale
1421.2,14.307,105.635,2.417,1.998,2.12,107.244,shale
1421.3,14.463,104.92,2.608,2.142,2.16,104.722,shale
1421.4,14.653,104.537,2.826,2.309,2.215,101.675,shale
1421.5,14.812,104.251,3.05,2.482,2.276,97.33,shale
1421.6,14.895,103.788,3.257,2.642,2.334,92.473,shale
1421.7,14.884,103.118,3.423,2.771,2.385,88.523,shale
1421.8,14.782,102.583,3.517,2.845,2.423,85.824,shale
1421.9,14.594,102.655,3.489,2.829,2.446,84.921,shale
1422,14.33,103.659,3.283,2.682,2.447,87.469,shale
1422.1,14.005,105.736,2.91,2.407,2.421,94.951,shale
1422.2,13.658,108.822,2.467,2.07,2.362,106.432,shale
1422.3,13.343,112.649,2.063,1.755,2.283,118.384,shale
1422.4,13.11,116.752,1.749,1.507,2.194,127.665,shale
1422.5,12.975,120.533,1.532,1.333,2.126,133.162,shale
1422.6,12.921,123.258,1.397,1.223,2.074,134.946,shale
1422.7,12.906,124.364,1.325,1.164,2.031,133.443,shale
1422.8,12.885,123.7,1.303,1.144,1.993,129.962,shale
1422.9,12.83,121.497,1.317,1.154,1.958,126.53,shale
1423,12.74,118.286,1.358,1.185,1.925,124.63,shale
1423.1,12.627,114.716,1.414,1.229,1.894,124.387,shale
1423.2,12.512,111.239,1.479,1.28,1.87,124.311,shale
1423.3,12.41,108.141,1.55,1.337,1.861,122.486,shale
1423.4,12.331,105.637,1.628,1.4,1.877,118.281,shale
1423.5,12.283,104.036,1.723,1.476,1.919,112.453,shale
1423.6,12.269,103.64,1.845,1.573,1.986,106.379,shale
1423.7,12.281,104.497,2.004,1.696,2.069,101.202,shale
1423.8,12.315,106.355,2.199,1.845,2.156,97.639,shale
1423.9,12.359,108.688,2.41,2.004,2.232,96.29,shale
1424,12.393,110.925,2.6,2.145,2.288,97.348,shale
1424.1,12.402,112.649,2.724,2.234,2.32,100.068,shale
1424.2,12.385,113.59,2.749,2.248,2.333,103.069,shale
1424.3,12.355,113.701,2.68,2.188,2.331,105.485,shale
1424.4,12.323,113.068,2.55,2.081,2.318,107.496,shale
1424.5,12.311,111.88,2.405,1.963,2.299,109.669,shale
1424.6,12.35,110.332,2.282,1.863,2.275,111.804,shale
1424.7,12.47,108.691,2.202,1.797,2.254,112.882,shale
1424.8,12.693,107.342,2.173,1.77,2.24,112.145,shale
1424.9,13.014,106.505,2.193,1.783,2.239,109.705,shale
1425,13.405,106.084,2.256,1.831,2.252,106.309,shale
1425.1,13.829,105.862,2.352,1.907,2.276,103.01,shale
1425.2,14.246,105.537,2.462,1.997,2.306,100.265,shale
1425.3,14.623,104.977,2.564,2.084,2.332,98.604,shale
1425.4,14.932,104.38,2.628,2.144,2.343,98.756,shale
1425.5,15.145,104.066,2.625,2.152,2.332,101.024,shale
1425.6,15.235,104.172,2.545,2.097,2.297,105.687,shale
1425.7,15.194,104.594,2.405,1.991,2.246,111.957,shale
1425.8,15.036,105.076,2.243,1.865,2.189,117.777,shale
1425.9,14.81,105.365,2.099,1.751,2.137,120.685,shale
1426,14.578,105.462,2.002,1.674,2.099,119.553,shale
1426.1,14.386,105.647,1.969,1.645,2.083,115.094,shale
1426.2,14.239,106.279,2.003,1.67,2.09,109.419,shale
1426.3,14.116,107.534,2.1,1.743,2.12,105.057,shale
1426.4,13.983,109.303,2.235,1.847,2.16,103.155,shale
1426.5,13.818,111.215,2.357,1.946,2.193,103.965,shale
1426.6,13.621,112.87,2.402,1.987,2.203,106.82,shale
1426.7,13.407,114.028,2.331,1.938,2.182,110.407,shale
1426.8,13.186,114.541,2.171,1.814,2.141,114.021,shale
1426.9,12.963,114.187,1.987,1.665,2.1,117.185,shale
1427,12.734,112.766,1.832,1.536,2.073,118.982,shale
1427.1,12.49,110.375,1.732,1.451,2.066,118.503,shale
1427.2,12.231,107.477,1.692,1.414,2.081,115.764,shale
1427.3,11.962,104.698,1.712,1.424,2.113,111.772,shale
1427.4,11.695,102.588,1.787,1.478,2.155,107.802,shale
1427.5,11.443,101.496,1.908,1.57,2.202,104.671,shale
1427.6,11.22,101.324,2.06,1.685,2.247,102.573,shale
1427.7,11.034,101.702,2.213,1.801,2.287,101.84,shale
1427.8,10.889,102.333,2.334,1.893,2.318,102.843,shale
1427.9,10.786,103.071,2.404,1.943,2.34,105.071,shale
1428,10.722,103.874,2.42,1.952,2.35,107.406,shale
1428.1,10.679,104.726,2.397,1.932,2.351,108.984,shale
1428.2,10.635,105.537,2.357,1.898,2.347,109.554,shale
1428.3,10.58,106.324,2.319,1.866,2.343,109.521,shale
1428.4,10.534,107.226,2.296,1.846,2.343,109.326,shale
1428.5,10.537,108.312,2.294,1.841,2.348,108.886,shale
1428.6,10.626,109.494,2.31,1.849,2.355,108.023,shale
1428.7,10.816,110.61,2.335,1.863,2.357,106.92,shale
1428.8,11.099,111.562,2.353,1.874,2.345,105.951,shale
1428.9,11.434,112.195,2.348,1.868,2.313,105.351,shale
1429,11.772,112.411,2.31,1.84,2.262,105.743,shale
1429.1,12.067,112.448,2.237,1.787,2.198,107.571,shale
1429.2,12.286,112.652,2.134,1.71,2.133,110.59,shale
1429.3,12.418,113.119,2.011,1.617,2.075,114.31,shale
1429.4,12.471,113.624,1.88,1.517,2.032,118.193,shale
1429.5,12.465,113.742,1.757,1.424,2.009,121.779,shale
1429.6,12.435,113.137,1.656,1.347,2.008,124.324,shale
1429.7,12.426,111.69,1.583,1.292,2.028,124.809,shale
1429.8,12.469,109.53,1.544,1.263,2.063,122.42,shale
1429.9,12.565,107.029,1.541,1.261,2.102,117.86,shale
1430,12.691,104.589,1.573,1.285,2.137,113.31,shale
1430.1,12.811,102.59,1.635,1.333,2.16,110.453,shale
1430.2,12.891,101.25,1.724,1.4,2.173,109.303,shale
1430.3,12.91,100.717,1.833,1.484,2.183,108.637,shale
1430.4,12.869,101.253,1.957,1.579,2.198,107.503,shale
1430.5,12.781,102.893,2.09,1.681,2.225,105.757,shale
1430.6,12.674,105.332,2.226,1.783,2.266,103.526,shale
1430.7,12.571,108.112,2.361,1.882,2.313,101.157,shale
1430.8,12.481,110.639,2.487,1.974,2.355,99.414,shale
1430.9,12.409,112.421,2.596,2.051,2.37,99.215,shale
1431,12.356,113.21,2.676,2.108,2.369,100.758,shale
1431.1,12.325,113.179,2.72,2.137,2.363,102.893,shale
1431.2,12.322,112.785,2.725,2.138,2.359,104.47,shale
1431.3,12.354,112.41,2.691,2.111,2.353,105.416,shale
1431.4,12.424,112.198,2.617,2.055,2.339,106.143,shale
1431.5,12.524,112.059,2.5,1.968,2.321,106.927,shale
1431.6,12.631,111.83,2.343,1.852,2.299,108.436,shale
1431.7,12.712,111.366,2.161,1.717,2.273,111.699,shale
1431.8,12.736,110.536,1.977,1.58,2.244,116.977,shale
1431.9,12.694,109.458,1.816,1.459,2.216,122.862,shale
1432,12.612,108.47,1.691,1.366,2.191,126.6,shale
1432.1,12.545,107.823,1.607,1.304,2.171,126.621,shale
1432.2,12.561,107.516,1.56,1.27,2.152,124.112,shale
1432.3,12.698,107.386,1.54,1.256,2.133,121.453,shale
1432.4,12.944,107.371,1.536,1.255,2.111,119.835,shale
1432.5,13.243,107.652,1.536,1.257,2.086,119.351,shale
1432.6,13.524,108.45,1.534,1.259,2.062,120.212,shale
1432.7,13.733,109.753,1.53,1.26,2.046,122.115,shale
1432.8,13.848,111.281,1.53,1.263,2.043,123.325,shale
1432.9,13.88,112.663,1.54,1.272,2.057,121.691,shale
1433,13.853,113.605,1.563,1.291,2.083,117.448,shale
